2015,2016,2017,2018,2019,2020,2021,2022,market,iso,unit
0.1628,0.4662,0.9943,2.0566,3.1442,4.3469,7.5049,13.2014,Mainland China,CN,million vehicle units
0.3925,0.5507,0.7453,1.0956,1.4151,1.7399,2.3967,3.6181,United States,US,million vehicle units
0.0166,0.0285,0.0471,0.0913,0.1296,0.1882,0.2696,0.3986,Canada,CA,million vehicle units
0.1249,0.1455,0.1944,0.2402,0.2755,0.3065,0.3514,0.4279,Japan,JP,million vehicle units
0.0007,0.0017,0.0037,0.0068,0.0103,0.0147,0.0296,0.0518,India,IN,million vehicle units
0.0033,0.0093,0.0232,0.0562,0.0936,0.1521,0.2674,0.4602,South Korea,KR,million vehicle units
0.0013,0.0024,0.0048,0.007,0.0137,0.0206,0.0414,0.0774,Australia,AU,million vehicle units
0.0046,0.0088,0.0174,0.0319,0.0448,0.057,0.0692,0.0906,Southeast Asia,n/a,million vehicle units
0.0075,0.0096,0.013,0.0243,0.0719,0.1297,0.2023,0.3143,Rest of World,n/a,million vehicle units
0.3442,0.5568,0.836,1.2193,1.7631,3.219,5.6014,8.7725,Europe,n/a,million vehicle units